Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download),,,,,,,,
Download Date: 12/31/2022,,,,,,,,
,,,,,,,,
Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) ,,,,,,,,
"Location (Lat/Lon of 4-km Grid Cell Center): 30.0625 North,70.8125 East ",,,,,,,,
Variable List: ,,,,,,,,
tmax: tmax (Maximum Temperature),,,,,,,,
tmin: tmin (Minimum Temperature),,,,,,,,
ppt: ppt (Precipitation),,,,,,,,
soil: soil (Soil Moisture),,,,,,,,
ws: ws (Wind Speed),,,,,,,,
q: q (Runoff),,,,,,,,
********************************************************,,,,,,,,
Year,Month,tmax(degC),tmin(degC),ppt(mm),soil(mm),ws(mps),q(mm),Flood
1965,1,23.2,6.58,3.9,0.5,2.1,0.2,FALSE
1965,2,24.52,8.31,5.4,0.4,2.56,0.3,FALSE
1965,3,29.72,13.29,2.9,0.4,2.71,0.1,FALSE
1965,4,31.68,16.59,21,0.4,2.68,1.1,FALSE
1965,5,38.52,22.08,3.9,0.4,3.11,0.2,FALSE
1965,6,41.3,26.67,1.5,0.4,3.68,0.1,FALSE
1965,7,38.49,27.23,56.2,0.4,3.04,2.8,FALSE
1965,8,37.73,25.44,20.9,0.4,2.76,1,FALSE
1965,9,37.38,23.58,3.3,0.4,2.86,0.2,FALSE
1965,10,35.8,19.29,8.6,0.4,2.68,0.4,FALSE
1965,11,29.83,11.03,1.4,0.4,2.55,0.1,FALSE
1965,12,21.97,3,2.2,0.4,2.02,0.1,FALSE
1966,1,22.7,5.17,0.3,0.4,2.3,0,FALSE
1966,2,26.49,10.48,9.8,0.4,2.36,0.5,FALSE
1966,3,30.32,12.49,3.9,0.4,2.66,0.2,FALSE
1966,4,34.28,17.59,23.1,0.4,3.48,1.2,FALSE
1966,5,40.38,22.94,2.6,0.4,3.58,0.1,FALSE
1966,6,40.81,26.98,8.3,0.4,3.52,0.4,FALSE
1966,7,39.71,26.55,40.6,0.4,2.75,2,FALSE
1966,8,37.57,26.78,54,0.4,3.09,2.7,FALSE
1966,9,36.31,22.71,6.2,0.4,2.95,0.3,FALSE
1966,10,35.06,16.96,1.7,0.4,2.45,0.1,FALSE
1966,11,25.28,9.98,0.2,0.4,2.42,0,FALSE
1966,12,22.16,2.92,0,0.4,1.6,0,FALSE
1967,1,19.86,2.36,0,0.4,1.29,0,FALSE
1967,2,26.49,8.94,5.7,0.4,1.62,0.3,FALSE
1967,3,27.99,12.58,26.5,0.4,1.58,1.3,FALSE
1967,4,34.37,17.77,5.6,0.4,1.86,0.3,FALSE
1967,5,39.25,21.98,0.4,0.4,2.32,0,FALSE
1967,6,41.71,26.88,0.9,0.4,2.42,0,FALSE
