Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download),,,,,,,,
Download Date: 12/31/2022,,,,,,,,
,,,,,,,,
Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) ,,,,,,,,
"Location (Lat/Lon of 4-km Grid Cell Center): 30.0625 North,70.8125 East ",,,,,,,,
Variable List: ,,,,,,,,
tmax: tmax (Maximum Temperature),,,,,,,,
tmin: tmin (Minimum Temperature),,,,,,,,
ppt: ppt (Precipitation),,,,,,,,
soil: soil (Soil Moisture),,,,,,,,
ws: ws (Wind Speed),,,,,,,,
q: q (Runoff),,,,,,,,
********************************************************,,,,,,,,
Year,Month,tmax(degC),tmin(degC),ppt(mm),soil(mm),ws(mps),q(mm),Flood
1987,4,36.32,19.63,0.6,0.1,1.93,0,FALSE
1987,5,37.65,21.51,8.1,0.1,2.24,0.4,FALSE
1987,6,40.97,26.44,15.5,0.1,2.09,0.8,FALSE
1987,7,40.57,27.3,15.2,0.1,2.04,0.8,FALSE
1987,8,39.65,27.22,41.6,0.1,1.35,2.1,FALSE
1987,9,38.87,24.87,0.1,0.1,1.45,0,FALSE
1987,10,35.33,18.09,0.5,0.1,1.21,0,FALSE
1987,11,30.87,10.17,0,0.1,0.67,0,FALSE
1987,12,23.25,5.91,0,0.1,0.67,0,FALSE
1988,1,22.62,6.23,5,0.1,0.93,0.2,FALSE
1988,2,24.97,9.16,1.7,0.1,1.24,0.1,FALSE
1988,3,29.38,13.45,12.2,0.1,1.58,0.6,FALSE
1988,4,37.79,21.06,0.4,0.1,1.53,0,FALSE
1988,5,42.95,26.11,0.9,0.1,2.18,0,FALSE
1988,6,42.08,27.44,3.4,0.1,2.45,0.2,FALSE
1988,7,38.52,28.36,68.4,0.1,2.32,3.4,FALSE
1988,8,37.52,26.52,37.6,0.1,1.59,1.9,FALSE
1988,9,37.48,24.29,27.5,0.1,1.44,1.4,TRUE
1988,10,35.38,17.87,0.9,0.1,1.03,0,FALSE
1988,11,29.47,10.77,0,0.1,0.46,0,FALSE
1988,12,24.09,5.86,6.1,0.1,0.82,0.3,FALSE
1989,1,20.22,4.1,8.9,0.1,1.02,0.4,FALSE
1989,2,23.22,6.51,0.8,0.1,1.12,0,FALSE
1989,3,28.26,12.72,22.6,0.1,1.36,1.1,FALSE
1989,4,34.72,17.03,1,0.1,1.49,0.1,FALSE
1989,5,40.21,22.07,0.3,0.1,2.11,0,FALSE
1989,6,40.48,26.04,14.8,0.1,1.81,0.7,FALSE
1989,7,38.46,25.3,94.8,0.1,1.93,4.7,FALSE
1989,8,37.1,24.8,47.4,0.1,0.95,2.4,FALSE
1989,9,37.4,23.1,0.7,0.1,1.3,0,FALSE
1989,10,35.94,17.43,0,0.1,0.94,0,FALSE
1989,11,29.55,10.55,2.5,0.1,0.6,0.1,FALSE
1989,12,22.81,6.17,34.2,0.1,0.38,1.7,FALSE
1990,1,23.76,5.53,13.5,0.1,1.02,0.7,FALSE
1990,2,22.42,9.55,27.8,0.1,0.99,1.4,FALSE
1990,3,27.09,12.86,6.2,0.1,1.39,0.3,FALSE
1990,4,35.1,18.6,2.1,0.1,1.71,0.1,FALSE
1990,5,41.74,26,5.1,0.1,2.19,0.3,FALSE
1990,6,41,27.27,7.5,0.1,1.94,0.4,FALSE
1990,7,38.81,27.89,12.7,0.1,1.65,0.6,FALSE
1990,8,37.75,26.95,125.8,0.1,1.28,6.3,FALSE
1990,9,36.96,25.27,32,0.1,1.37,1.6,FALSE
1990,10,34.41,17.4,0.1,0.1,1.06,0,FALSE
1990,11,29.59,11.49,0.7,0.1,0.76,0,FALSE
1990,12,22.86,5.19,7.7,0.1,0.7,0.4,FALSE
1991,1,20.6,4.87,4.4,0.1,0.91,0.2,FALSE
1991,2,22.64,8.03,14.8,0.1,1.58,0.7,FALSE
1991,3,28.53,13.8,8.2,0.1,1.54,0.4,FALSE
1991,4,33.72,17.93,22.9,0.1,1.76,1.1,FALSE
1991,5,39.44,23.2,9.5,0.1,2.06,0.5,FALSE
1991,6,41.03,27.59,9,0.1,1.85,0.4,FALSE
1991,7,40.97,27.91,5.3,0.1,2.05,0.3,FALSE
1991,8,37.62,27.33,23.3,0.1,1.82,1.2,FALSE
1991,9,37.08,23.79,54.5,0.1,0.99,2.7,FALSE
1991,10,34.72,16.21,0.9,0.1,1.2,0,FALSE
1991,11,28.32,11.12,0.4,0.1,0.57,0,FALSE
1991,12,23.84,6.87,7.4,0.1,0.51,0.4,FALSE
1992,1,21.11,5.98,19.5,0.1,0.77,1,FALSE
1992,2,23.08,8.77,15.6,0.1,1.01,0.8,FALSE
1992,3,27.78,13.25,4.6,0.1,1.43,0.2,FALSE
1992,4,33.07,17.88,13.8,0.1,1.3,0.7,FALSE
1992,5,39.3,22.66,6,0.1,1.94,0.3,FALSE
1992,6,41.91,27.47,1.8,0.1,1.7,0.1,FALSE
1992,7,38.27,27,32.7,0.1,1.51,1.6,FALSE
1992,8,36.07,26.57,48.4,0.1,1.73,2.4,FALSE
1992,9,35.58,22.69,11,0.1,0.89,0.6,TRUE
1992,10,33.72,18.62,5.7,0.1,1.12,0.3,FALSE
1992,11,27.76,11.56,5.2,0.1,0.67,0.3,FALSE
1992,12,24.14,7.5,2.7,0.1,0.69,0.1,FALSE
1993,1,20.5,5.37,11.2,0.1,1.04,0.6,FALSE
1993,2,26.59,10.58,2.9,0.1,1.19,0.1,FALSE
1993,3,26.47,13.04,6.8,0.1,1.31,0.3,FALSE
1993,4,35.13,19.74,12.3,0.1,1.18,0.6,FALSE
1993,5,41.67,25.63,8.8,0.1,2.26,0.4,FALSE
1993,6,41.16,27.03,8.6,0.1,2.03,0.4,FALSE
1993,7,37.52,27.16,115.9,0.1,1.91,5.8,FALSE
1993,8,38.5,26.31,8.1,0.1,1.78,0.4,FALSE
1993,9,36.46,25.57,6,0.1,0.48,0.3,FALSE
1993,10,34.49,18.28,0.1,0.1,0.96,0,FALSE
1993,11,29.95,11.55,0,0.1,0.74,0,FALSE
1993,12,24.67,5.5,0,0.1,0.76,0,FALSE
1994,1,20.43,7.11,6.2,0.1,1.01,0.3,FALSE
1994,2,22.56,8.45,8.7,0.1,1.41,0.4,FALSE
1994,3,31.66,15.03,4.9,0.1,1.32,0.2,FALSE
1994,4,33.8,18.31,5.3,0.1,1.87,0.3,FALSE
1994,5,41.33,24.79,12.4,0.1,2.06,0.6,FALSE
1994,6,41.53,28.09,18.7,0.1,2.38,0.9,FALSE
1994,7,37.1,27.73,93.5,0.1,1.61,4.7,TRUE
1994,8,36.51,27.12,57.8,0.1,1.71,2.9,TRUE
1994,9,34.93,22.83,41.4,0.1,0.96,2.1,TRUE
1994,10,34.06,16.85,0.4,0.1,0.93,0,FALSE
1994,11,29.72,12.52,0.8,0.1,0.48,0,FALSE
1994,12,23.7,5.72,20.4,0.1,0.69,1,FALSE
1995,1,20.22,5.89,3.7,0.1,0.91,0.2,FALSE
1995,2,24.06,10.05,7.3,0.1,1.35,0.4,FALSE
1995,3,26.84,13.41,7.7,0.1,1.4,0.4,FALSE
1995,4,32.79,17.99,23.3,0.1,1.87,1.2,FALSE
1995,5,40.2,24.67,2.6,0.1,2.02,0.1,FALSE
1995,6,41.79,27.76,7.2,0.1,2.38,0.4,FALSE
1995,7,38.72,27.56,60.7,0.1,2.1,3,TRUE
1995,8,36.22,27.53,87.4,0.1,1.2,4.4,FALSE
1995,9,36.89,24.09,39,0.1,1,2,FALSE
1995,10,35.05,19.14,5.8,0.1,0.97,0.3,FALSE
1995,11,28.91,11.01,0.1,0.1,0.73,0,FALSE
1995,12,21.75,6.17,3.3,0.1,0.51,0.2,FALSE
1996,1,20.07,5.55,11.7,0.1,0.93,0.6,FALSE
1996,2,24.52,9.82,11.8,0.1,1.29,0.6,FALSE
1996,3,29.92,15.68,5.7,0.1,1.48,0.3,FALSE
1996,4,36.3,20.1,5.5,0.1,1.63,0.3,FALSE
1996,5,38.7,22.96,16.2,0.1,2.16,0.8,FALSE
1996,6,38.99,27.06,32.4,0.1,1.67,1.6,FALSE
1996,7,38.58,27.12,46.2,0.1,1.6,2.3,FALSE
1996,8,36.36,26.56,49.9,0.1,1.7,2.5,FALSE
1996,9,36.99,24.99,3.4,0.1,1.13,0.2,FALSE
1996,10,33.25,18.55,2.5,0.1,1.12,0.1,FALSE
1996,11,28.43,9.13,0,0.1,0.73,0,FALSE
1996,12,23.5,3.52,1.2,0.1,0.47,0.1,FALSE
1997,1,20.96,4.03,8.6,0.1,0.67,0.4,FALSE
1997,2,24.42,7.91,1,0.1,1.29,0.1,FALSE
1997,3,27.77,13.74,11.1,0.1,1.33,0.6,FALSE
1997,4,33.04,18.15,11.1,0.1,1.58,0.6,FALSE
1997,5,37.52,21.58,11.9,0.1,1.82,0.6,FALSE
1997,6,39.35,25.42,33.6,0.1,1.71,1.7,FALSE
1997,7,39.25,27.89,52.7,0.1,2.09,2.6,FALSE
1997,8,36.95,26.16,51.4,0.1,1.73,2.6,FALSE
1997,9,36.83,24.54,0.5,0.1,1.24,0,FALSE
1997,10,32.6,15.74,19.5,0.1,0.74,1,FALSE
1997,11,25.93,12.23,2,0.1,0.29,0.1,FALSE
1997,12,19.31,6.24,6.4,0.1,0.51,0.3,FALSE
1998,1,21.29,5.36,4.9,0.1,0.75,0.2,FALSE
1998,2,23.94,9.03,13.1,0.1,1.2,0.7,FALSE
1998,3,28.16,13.13,9.5,0.1,1.4,0.5,FALSE
1998,4,36.38,21.09,6.6,0.1,1.64,0.3,FALSE
1998,5,41.03,24.29,6.4,0.1,2.14,0.3,FALSE
1998,6,40.64,26.11,23.2,0.1,1.66,1.2,FALSE
1998,7,38.46,28.3,34.6,0.1,1.89,1.7,FALSE
1998,8,38.42,27.22,13.7,0.1,1.63,0.7,FALSE
1998,9,36.09,24.79,31.8,0.1,0.85,1.6,FALSE
1998,10,35.68,18.81,4.4,0.1,1.02,0.2,FALSE
1998,11,28.01,11.41,0,0.1,0.48,0,FALSE
1998,12,24.33,4.49,0,0.1,0.56,0,FALSE
1999,1,20.23,4.4,14.2,0.1,0.94,0.7,FALSE
1999,2,24.12,9.71,24.7,0.1,0.82,1.2,FALSE
1999,3,30.73,13.9,4.2,0.1,1.47,0.2,FALSE
1999,4,38.51,20.11,0,0.1,2.02,0,FALSE
1999,5,40.98,25.54,2.8,0.1,2.17,0.1,FALSE
1999,6,40.84,27.21,3.1,0.1,2.09,0.2,FALSE
1999,7,39.46,27.9,58,0.1,1.84,2.9,FALSE
1999,8,37.49,26.1,39.3,0.1,2.04,2,FALSE
1999,9,38.03,25.34,5.5,0.1,0.84,0.3,FALSE
1999,10,35.58,19.87,9.8,0.1,0.79,0.5,FALSE
1999,11,30.65,11.65,0.1,0.1,0.79,0,FALSE
1999,12,24.82,5.98,0,0.1,0.58,0,FALSE
2000,1,21.65,4.92,6.9,0.1,1.1,0.3,FALSE
2000,2,22.7,7.69,13.3,0.1,1.32,0.7,FALSE
2000,3,29.74,13.1,1.1,0.1,1.63,0.1,FALSE
2000,4,38.57,22.18,0.1,0.1,1.71,0,FALSE
2000,5,42.93,27.99,0.3,0.1,2.85,0,FALSE
2000,6,40.95,27.62,4.7,0.1,2.22,0.2,FALSE
2000,7,38.47,27.2,49.5,0.1,1.82,2.5,FALSE
2000,8,37.79,26.9,20.7,0.1,1.78,1,FALSE
2000,9,37.03,23.63,15.1,0.1,1.23,0.8,FALSE
2000,10,36.76,18.75,0.1,0.1,0.89,0,FALSE
2000,11,29.17,10.97,0.2,0.1,0.95,0,FALSE
2000,12,25.51,5.44,1.9,0.1,0.87,0.1,FALSE
2001,1,21.04,4.98,2.2,0.1,0.82,0.1,FALSE
2001,2,25.01,9.79,1.7,0.1,1.55,0.1,FALSE
2001,3,30.64,14.9,1.8,0.1,1.43,0.1,FALSE
2001,4,36.22,19.8,6.9,0.1,1.52,0.3,FALSE
2001,5,42.55,25.95,2.1,0.1,2.29,0.1,FALSE
2001,6,39.41,25.44,40.2,0.1,1.6,2,FALSE
2001,7,37.47,26.1,78.7,0.1,1.77,3.9,FALSE
2001,8,37.53,26.61,26.6,0.1,1.88,1.3,FALSE
2001,9,35.96,22.87,7.8,0.1,1.02,0.4,FALSE
2001,10,35.67,18.8,0.2,0.1,1.1,0,FALSE
2001,11,29.71,11.6,0,0.1,0.69,0,FALSE
2001,12,24.79,7.1,8.7,0.1,0.51,0.4,FALSE
2002,1,21.7,5.64,0.4,0.1,0.76,0,FALSE
2002,2,23.74,8.53,9.4,0.1,1.24,0.5,FALSE
2002,3,30.94,15.21,6.8,0.1,1.26,0.3,FALSE
2002,4,37.26,20.85,3.3,0.1,1.87,0.2,FALSE
2002,5,43.08,26.48,11.6,0.1,2.03,0.6,FALSE
2002,6,42.12,28.15,9.6,0.1,1.95,0.5,FALSE
2002,7,40.79,29.43,5.7,0.1,2.45,0.3,FALSE
2002,8,39.17,28.25,4.4,0.1,1.79,0.2,FALSE
2002,9,36.45,23.36,44.1,0.1,0.59,2.2,FALSE
2002,10,35.3,18.44,3.6,0.1,0.79,0.2,FALSE
2002,11,29.72,11.61,2.2,0.1,0.46,0.1,FALSE
2002,12,24.09,6.4,11.8,0.1,0.78,0.6,FALSE
2003,1,21.63,5.57,3.9,0.1,0.82,0.2,FALSE
2003,2,24.11,8.89,23.3,0.1,1.12,1.2,FALSE
2003,3,29.91,14.17,3.2,0.1,1.45,0.2,FALSE
2003,4,36.85,20.44,1.9,0.1,1.88,0.1,FALSE
2003,5,40.09,23.49,1.1,0.1,2.3,0.1,FALSE
2003,6,41.74,27.77,0.7,0.1,1.77,0,FALSE
2003,7,38.14,26.77,62.3,0.1,1.26,3.1,FALSE
2003,8,37.42,26.5,89.6,0.1,1.03,4.5,FALSE
2003,9,36.72,23.63,28.4,0.1,0.89,1.4,FALSE
2003,10,34.65,17.78,0.4,0.1,0.74,0,FALSE
2003,11,28.19,10.08,0.5,0.1,0.71,0,FALSE
2003,12,23.72,6.02,0.2,0.1,0.57,0,FALSE
2004,1,21.63,5.57,16.9,0.1,0.98,0.8,FALSE
2004,2,26.01,10.8,2.7,0.1,1.14,0.1,FALSE
2004,3,33.41,17.67,0.1,0.1,1.29,0,FALSE
2004,4,38.45,22.03,4.9,0.1,1.97,0.2,FALSE
2004,5,41.67,25.07,2.9,0.1,2.38,0.1,FALSE
2004,6,40.72,26.75,13.4,0.1,1.43,0.7,FALSE
2004,7,40.53,29.16,14.2,0.1,1.67,0.7,FALSE
2004,8,37.64,26.72,100.3,0.1,1.14,5,FALSE
2004,9,37.16,24.07,18.4,0.1,1.06,0.9,FALSE
2004,10,33.52,16.66,2.7,0.1,1.11,0.1,FALSE
2004,11,29.84,11.73,0.4,0.1,0.53,0,FALSE
2004,12,23.94,6.24,16.8,0.1,0.65,0.8,FALSE
2005,1,19.94,3.88,25.9,0.1,0.85,1.3,FALSE
2005,2,21.5,6.28,27.9,0.1,1.04,1.4,FALSE
2005,3,28.83,13.1,18.8,0.1,1.45,0.9,FALSE
2005,4,34.75,18.34,2.9,0.1,1.49,0.1,FALSE
2005,5,38.23,21.63,11.7,0.1,1.83,0.6,FALSE
2005,6,41.33,27.36,2.9,0.1,1.61,0.1,FALSE
2005,7,38.3,26.93,88.9,0.1,0.77,4.4,FALSE
2005,8,38.1,27.18,15.6,0.1,1.76,0.8,FALSE
2005,9,36.58,23.49,30.8,0.1,0.85,1.5,FALSE
2005,10,34.88,18.02,0,0.1,0.97,0,FALSE
2005,11,28.86,10.75,0,0.1,0.61,0,FALSE
2005,12,22.52,4.82,0,0.1,0.48,0,FALSE
2006,1,20.67,4.62,2.3,0.1,0.9,0.1,FALSE
2006,2,27.15,11.94,6.6,0.1,1.01,0.3,FALSE
2006,3,29.23,13.5,19.2,0.1,1.42,1,FALSE
2006,4,36.7,20.29,1.3,0.1,1.69,0.1,FALSE
2006,5,42.31,25.71,4.3,0.1,1.69,0.2,FALSE
2006,6,39.55,25.58,16.4,0.1,1.14,0.8,FALSE
2006,7,39.5,28.13,15.1,0.1,1.83,0.8,FALSE
2006,8,36.87,25.94,44.3,0.1,1.08,2.2,FALSE
2006,9,36.97,23.88,8.8,0.1,0.58,0.4,FALSE
2006,10,36.06,19.19,4,0.1,0.88,0.2,FALSE
2006,11,29.01,10.9,2.4,0.1,0.46,0.1,FALSE
2006,12,22.43,4.74,33.9,0.1,0.63,1.7,FALSE
2007,1,20.9,4.84,0.8,0.1,0.74,0,FALSE
2007,2,23.63,8.41,27.8,0.1,0.92,1.4,FALSE
2007,3,28.42,12.68,19.8,0.1,1.1,1,FALSE
2007,4,38.26,21.85,1.4,0.1,1.26,0.1,FALSE
2007,5,40.83,24.23,2.1,0.1,1.68,0.1,FALSE
2007,6,39.75,25.78,41.1,0.1,1.78,2.1,FALSE
2007,7,38.46,27.09,54.7,0.1,1.34,2.7,FALSE
2007,8,37.93,27,18.2,0.1,1.45,0.9,FALSE
2007,9,36.93,23.84,48.7,0.1,0.48,2.4,FALSE
2007,10,34.28,17.42,0,0.1,0.73,0,FALSE
2007,11,29.67,11.56,0.2,0.1,0.59,0,FALSE
2007,12,22.1,4.4,7,0.1,0.5,0.3,FALSE
2008,1,18.85,2.8,9.1,0.1,0.83,0.5,FALSE
2008,2,22.37,7.15,16.4,0.1,1.15,0.8,FALSE
2008,3,31.97,16.23,0.5,0.1,1.32,0,FALSE
2008,4,34.94,18.53,20.2,0.1,1.62,1,FALSE
2008,5,40.33,23.74,5.2,0.1,1.7,0.3,FALSE
2008,6,39.77,25.8,9.4,0.1,1.45,0.5,FALSE
2008,7,38.82,27.45,38.4,0.1,1.32,1.9,FALSE
2008,8,36.8,25.88,80.3,0.1,1.33,4,FALSE
2008,9,36.11,23.02,16.5,0.1,0.54,0.8,FALSE
2008,10,35.96,19.09,0.1,0.1,0.78,0,FALSE
2008,11,28.88,10.76,0,0.1,0.59,0,FALSE
2008,12,23.64,5.94,14.6,0.1,0.44,0.7,FALSE
2009,1,21.7,5.65,17.3,0.1,0.69,0.9,FALSE
2009,2,24.94,9.72,5.9,0.1,0.94,0.3,FALSE
2009,3,29.63,13.89,12.3,0.1,1.17,0.6,FALSE
2009,4,34.67,18.26,5.8,0.1,1.68,0.3,FALSE
2009,5,41.09,24.49,1.5,0.1,1.61,0.1,FALSE
2009,6,39.76,25.79,5.3,0.1,1.67,0.3,FALSE
2009,7,39,27.63,49.7,0.1,1.45,2.5,FALSE
2009,8,38.31,27.39,15.1,0.1,1.89,0.8,FALSE
2009,9,37.56,24.47,11,0.1,0.63,0.6,FALSE
2009,10,34.63,17.77,2.1,0.1,0.72,0.1,FALSE
2009,11,27.94,9.83,0,0.1,0.56,0,FALSE
2009,12,23.27,5.57,2.6,0.1,0.42,0.1,FALSE
2010,1,20.88,4.82,2.6,0.1,0.53,0.1,FALSE
2010,2,24.41,9.2,1.2,0.1,1.26,0.1,FALSE
2010,3,32.69,16.95,12.9,0.1,1.07,0.6,FALSE
2010,4,38.65,22.24,3.8,0.1,1.49,0.2,FALSE
2010,5,41.62,25.02,4.8,0.1,1.83,0.2,FALSE
2010,6,39.25,25.28,9.7,0.1,1.55,0.5,FALSE
2010,7,38.52,27.15,91.6,0.1,1.19,4.6,TRUE
2010,8,36.29,25.37,176,12.8,1.15,8.8,FALSE
2010,9,36.3,23.21,27.3,10,0.55,1.4,FALSE
2010,10,35.83,18.96,0.4,8.2,0.63,0,FALSE
2010,11,28.76,10.64,0.1,7,0.44,0,FALSE
2010,12,21.97,4.28,1.8,6.1,0.55,0.1,FALSE
2011,1,19.66,3.61,1.1,5.4,0.72,0.1,FALSE
2011,2,23.06,7.84,18.8,4.9,1.11,0.9,FALSE
2011,3,29.86,14.12,5,4.4,1.19,0.3,FALSE
2011,4,34.21,17.79,8.2,4.1,1.48,0.4,FALSE
2011,5,41.81,25.21,4.3,3.7,1.76,0.2,FALSE
2011,6,41.24,27.27,6.7,3.5,1.34,0.3,FALSE
2011,7,38.46,27.09,22.9,3.2,1.03,1.1,FALSE
2011,8,36.96,26.04,50.5,3,1.37,2.5,FALSE
2011,9,35.89,22.8,23.1,2.9,0.82,1.2,FALSE
2011,10,34.69,17.83,2.2,2.7,0.86,0.1,FALSE
2011,11,30.72,12.61,0.6,2.6,0.41,0,FALSE
2011,12,22.68,4.99,0.1,2.4,0.65,0,FALSE
2012,1,19.81,3.76,3.1,2.3,0.78,0.2,FALSE
2012,2,21.51,6.29,3.4,2.2,1.18,0.2,FALSE
2012,3,29.12,13.38,0.6,2.1,1.59,0,FALSE
2012,4,34.19,17.77,13.1,2,1.51,0.7,FALSE
2012,5,40.28,23.68,1.9,2,1.67,0.1,FALSE
2012,6,41.06,27.09,6.4,1.9,1.48,0.3,FALSE
2012,7,40.32,28.95,33.7,1.8,1.58,1.7,FALSE
2012,8,37.81,26.89,40.3,1.8,1.3,2,FALSE
2012,9,35.92,22.83,37.7,1.7,0.88,1.9,FALSE
2012,10,33.84,16.97,3.5,1.6,0.58,0.2,FALSE
2012,11,28.83,10.72,0.1,1.6,0.5,0,FALSE
2012,12,23.02,5.32,10.5,1.5,0.5,0.5,FALSE
2013,1,20.55,4.5,2.4,1.5,0.86,0.1,FALSE
2013,2,23.29,8.07,11.5,1.5,1.16,0.6,FALSE
2013,3,29.44,13.7,13.5,1.4,1.21,0.7,FALSE
2013,4,34.51,18.1,7.4,1.4,1.6,0.4,FALSE
2013,5,40.87,24.27,1.2,1.3,2.04,0.1,FALSE
2013,6,40.08,26.11,40.7,1.3,1.83,2,FALSE
2013,7,39.24,27.87,33.9,1.3,1.46,1.7,FALSE
2013,8,37.26,26.34,33.4,1.2,1.44,1.7,FALSE
2013,9,37.36,24.27,3.6,1.2,0.89,0.2,FALSE
2013,10,36.22,19.36,6,1.2,0.67,0.3,FALSE
2013,11,28.49,10.38,1.6,1.2,0.43,0.1,FALSE
2013,12,22.91,5.21,0.1,1.1,0.47,0,FALSE
2014,1,32.9,16.84,0.1,1.1,0.69,0,FALSE
2014,2,22.56,7.35,15.7,1.1,0.96,0.8,FALSE
2014,3,28.13,12.4,16,1.1,1.27,0.8,FALSE
2014,4,34.56,18.15,9.3,1,1.65,0.5,FALSE
2014,5,38.3,21.7,6.9,1,1.66,0.3,FALSE
2014,6,41.8,27.83,5.6,1,1.82,0.3,FALSE
2014,7,39.29,27.93,40.3,1,1.3,2,FALSE
2014,8,38.25,27.33,27.1,1,1.65,1.4,FALSE
2014,9,37.26,24.17,13.9,0.9,0.94,0.7,FALSE
2014,10,34.95,18.09,2.5,0.9,0.74,0.1,FALSE
2014,11,28.69,10.57,1.2,0.9,0.39,0.1,FALSE
2014,12,21.85,4.15,0,0.9,0.48,0,FALSE
2015,1,20.32,4.27,6.3,0.9,0.81,0.3,FALSE
2015,2,24.63,9.42,6,0.9,1.32,0.3,FALSE
2015,3,27.7,11.97,26.3,0.8,1.31,1.3,FALSE
2015,4,35.85,19.43,6.8,0.8,1.47,0.3,FALSE
2015,5,40.27,23.68,5.9,0.8,1.62,0.3,FALSE
2015,6,39.09,25.12,36.2,0.8,1.12,1.8,FALSE
2015,7,37.21,25.84,83.1,0.8,1.22,4.2,FALSE
2015,8,37.39,26.47,100.9,0.8,1.04,5,FALSE
2015,9,36.6,23.51,26.9,0.8,0.78,1.3,FALSE
2015,10,35.22,18.36,12.9,0.8,0.74,0.6,FALSE
2015,11,28.84,10.72,0.7,0.7,0.51,0,FALSE
2015,12,23.12,5.42,0.5,0.7,0.61,0,FALSE
2016,1,22,6.6,4.5,0.7,0.71,0.2,FALSE
2016,2,26.2,8.7,1,0.7,0.95,0.1,FALSE
2016,3,27.4,14,15.4,0.7,1.19,0.8,FALSE
2016,4,33.8,18.7,7.9,0.7,1.64,0.4,FALSE
2016,5,41.5,24.8,5.1,0.7,1.85,0.3,FALSE
2016,6,39,26,8.3,0.7,1.19,0.4,FALSE
2016,7,37.6,26.6,60.5,0.7,1.18,3,FALSE
2016,8,34.6,24.9,62.7,0.7,1.02,3.1,FALSE
2016,9,36.2,23.5,14,0.6,0.71,0.7,FALSE
2016,10,35.3,18.5,1.3,0.6,0.87,0.1,FALSE
2016,11,30,11.3,0,0.6,0.79,0,FALSE
2016,12,26.6,8,6.6,0.6,0.59,0.3,FALSE
2017,1,19.9,5.8,15.1,0.6,0.95,0.8,FALSE
2017,2,25.9,9.7,4.3,0.6,1.2,0.2,FALSE
2017,3,28.4,13.1,3,0.6,1.35,0.2,FALSE
2017,4,36.9,20.3,5.3,0.6,2,0.3,FALSE
2017,5,41,25.3,6.3,0.6,1.66,0.3,FALSE
2017,6,36.5,25.3,39.4,0.6,1.36,2,FALSE
2017,7,34.8,25.6,32.3,0.6,1.2,1.6,FALSE
2017,8,36.5,26.2,47.2,0.6,2.25,2.4,FALSE
2017,9,35.6,23,9.7,0.6,0.64,0.5,FALSE
2017,10,35.6,18.3,0,0.6,0.93,0,FALSE
2017,11,26.6,10.1,5,0.6,0.45,0.3,FALSE
2017,12,23.9,4.9,17.3,0.5,0.46,0.9,FALSE
2018,1,23.2,5.7,0.1,0.5,0.9,0,FALSE
2018,2,24.9,10,7.2,0.5,1.1,0.4,FALSE
2018,3,31.7,15.2,5.6,0.5,1.3,0.3,FALSE
2018,4,36.3,20.2,4.3,0.5,1.2,0.2,FALSE
2018,5,40.2,23.4,2.5,0.5,1.7,0.1,FALSE
2018,6,38.3,25.5,29.4,0.5,1.4,1.5,FALSE
2018,7,39.1,27.2,24.4,0.5,1.4,1.2,FALSE
2018,8,38.1,27,16.3,0.5,1.5,0.8,FALSE
2018,9,35.7,23.5,6.1,0.5,0.3,0.3,FALSE
2018,10,33.5,17.4,0,0.5,0.7,0,FALSE
2018,11,28.6,11.5,0,0.5,0.7,0,FALSE
2018,12,23.1,5.5,1.7,0.5,0.5,0.1,FALSE
2019,1,20.7,4.6,22.5,0.5,1.1,1.1,FALSE
2019,2,22.4,7.2,26.8,0.5,1.3,1.3,TRUE
2019,3,28.2,12.5,9.3,0.5,1.4,0.5,TRUE
2019,4,36.2,19.8,37.9,0.5,1.9,1.9,FALSE
2019,5,39.7,23.1,15,0.5,1.7,0.8,FALSE
2019,6,40.6,26.6,22.8,0.5,1.3,1.1,FALSE
2019,7,39.7,28.3,41.6,0.5,1.2,2.1,FALSE
2019,8,37.2,26.3,88.5,0.5,1.1,4.4,FALSE
2019,9,39.2,26.1,14.6,0.5,0.9,0.7,FALSE
2019,10,34.9,18,14.2,0.5,0.6,0.7,FALSE
2019,11,29.1,11,6.4,0.5,1,0.3,FALSE
2019,12,21.8,4.1,12.4,0.4,0,0.6,FALSE
2020,1,19.5,3.7,44.5,0.4,1.2,2.2,FALSE
2020,2,24.9,9.8,0.7,0.4,1.4,0,FALSE
2020,3,27.4,11.9,48.6,0.4,1.9,2.4,FALSE
2020,4,35.8,19.5,5.9,0.4,1.7,0.3,FALSE
2020,5,40.3,23.8,10.3,0.4,2.1,0.5,FALSE
2020,6,40.4,26.4,1.7,0.4,1.3,0.1,FALSE
2020,7,39.7,28.3,17,0.4,1.6,0.9,FALSE
2020,8,38.2,27.3,199.4,14,1.8,10,FALSE
2020,9,36.7,23.7,7,10.6,0.7,0.3,FALSE
2020,10,34.3,17.4,0,8.6,0.7,0,FALSE
2020,11,27.6,9.7,0.8,7.3,0.9,0,FALSE
2020,12,22.7,5.1,8.6,6.3,0.5,0.4,FALSE
2021,1,19.9,4.1,1.2,5.6,0.9,0.1,FALSE
2021,2,26.1,11,0,5,0.9,0,FALSE
2021,3,31.1,15.6,18.6,4.5,1.6,0.9,FALSE
2021,4,35,18.7,5.3,4.1,1.6,0.3,FALSE
2021,5,39.6,23.1,5.9,3.8,1.7,0.3,FALSE
